# DATE: 2015-01-09T05:57:07
#Pause,Count,Name
RJBS,276,Ricardo SIGNES
PERLANCAR,274,perlancar
TOBYINK,266,Toby Inkster
ADAMK,248,Adam Kennedy
MIYAGAWA,224,Tatsuhiko Miyagawa
SHARYANTO,212,Steven Haryanto
FLORA,209,Florian Ragwitz
INGY,209,Ingy dot Net
BINGOS,208,Chris Williams
SMUELLER,183,Steffen Mueller
TOKUHIROM,181,Tokuhiro Matsuno
DAGOLDEN,170,David Golden
ETHER,164,Karen Etheridge
NUFFIN,158,Yuval Kogman
MARCEL,157,Marcel Gruenauer
KENTNL,154,Kent Fredric
BOBTFISH,152,Tomas Doran
DROLSKY,129,Dave Rolsky
PEVANS,125,Paul Evans
DMAKI,123,Daisuke Maki
GUGOD,120,Liu Kang Min
SIMON,118,Simon Cozens
BARBIE,113,Barbie
AUTRIJUS,112,Audrey Tang
SHLOMIF,106,Shlomi Fish
SALVA,104,Salvador Fandino Garcia
BDFOY,102,brian d foy
LBROCARD,102,Leon Brocard
MRAMBERG,101,Marcus Ramberg
RSAVAGE,101,Ron Savage
